YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,UVA,Wind Energy,Solar Energy
2021,1,16,4.25,4.29,9.05,58.5,93.47,3.38,198,9.3,195.0043892,142.29
2021,1,17,4.43,4.09,8.44,59.5,93.46,4.12,264.75,9.12,238.1870897,139.536
2021,1,18,4.41,4.44,8.9,58.31,93.88,3.91,255.44,9.72,226.6919965,148.716
2021,1,19,4.5,4.31,9.28,47.38,93.87,3.66,232.75,9.54,211.889546,145.962
2021,1,20,4.38,3.83,7.02,60.81,93.88,6.58,290.69,8.65,384.0517935,132.345
2021,1,21,4.77,4.64,3.67,59.75,94.74,3.6,164.94,10.19,214.6104524,155.907
2021,1,22,4.77,4.8,1.65,42.56,94.75,2.92,59.12,10.23,175.3710066,156.519
2021,1,23,4.65,4.71,2.73,51.81,94.37,3.45,109.69,10.19,205.5631603,155.907
2021,1,24,4.31,4.3,5.6,47.06,94.09,4.28,95.5,9.28,251.6429772,141.984
2021,1,25,4.21,4.24,6.65,52.38,94.01,3.55,67.75,9.13,207.7624934,139.689
2021,1,26,4.59,4.58,7.37,46.12,94.17,3.77,75.06,10.03,220.4461627,153.459
2021,1,27,4.09,3.52,10.65,48.69,93.66,3.98,132.06,7.77,228.7901313,118.881
2021,1,28,4.6,4.56,11.48,46.38,93.48,4.66,226.19,9.98,266.5854245,152.694
2021,1,29,4.72,4.65,8.55,59.56,93.57,5.22,251,10.33,302.0179383,158.049
2021,1,30,4.94,4.99,7.43,66.88,94.08,3.05,255.62,11.11,178.1364898,169.983
2021,1,31,4.81,4.73,9.23,46.94,94,3.06,202.62,10.45,177.4303051,159.885
2021,2,1,4.77,4.81,11.04,43.94,94.22,3.89,102.75,10.53,224.644796,161.109
2021,2,2,4.38,4.15,12.01,50.06,94.04,5.5,90.44,9.08,315.9360303,138.924
2021,2,3,4.48,4.51,13.18,50.81,93.79,3.86,88.12,10.03,220.2365729,153.459
2021,2,4,4.45,1.87,10.9,78.12,93.5,3.27,128,4.73,187.4895312,72.369
2021,2,5,4.67,4.23,11.83,78.44,93.3,3.92,253,9.41,223.5454227,143.973
2021,2,6,4.47,2.35,10.11,72.56,93.72,5.3,222.69,5.31,305.4466398,81.243
2021,2,7,5.19,5.04,9.77,49.19,94.16,3.06,268.75,11.14,177.3930824,170.442
2021,2,8,5.33,5.38,10.55,45.81,94.6,2.48,185.38,11.91,144.0442526,182.223
2021,2,9,5.28,4.48,9.7,60.69,94.59,3.25,166.19,10.2,189.3149262,156.06
2021,2,10,5.34,4.85,11.98,53.06,94.14,2.62,224.69,11.09,150.6763268,169.677
2021,2,11,5.39,5.36,12.3,45.19,93.99,2.55,229.75,11.93,146.2528156,182.529
2021,2,12,5.22,5.1,12.41,51.12,93.67,4.1,135.19,11.54,234.2607109,176.562
2021,2,13,5.34,5.39,13.2,49.19,93.66,2.73,204.56,12.22,155.5364084,186.966
2021,2,14,5.27,5.13,13.55,48.69,93.86,2.68,98.69,11.66,152.8270057,178.398
2021,2,15,5.36,5.41,16.33,45.12,93.37,2.7,209.12,12.34,151.6928155,188.802
2021,2,16,5.2,4.1,16.7,39.25,92.81,4.92,230.31,9.53,274.4094251,145.809
2021,2,17,5.47,3.43,10.62,47.25,93.08,7.29,277.5,8.2,416.5142611,125.46
2021,2,18,5.46,5.42,6.17,55.06,93.82,5.73,278.94,11.96,335.2435805,182.988
2021,2,19,5.69,5.64,7.94,54.31,94.19,1.86,239.56,12.73,108.5637406,194.769
2021,2,20,5.53,5.49,8.69,47.75,94.12,2.31,240.62,12.21,134.3704345,186.813
2021,2,21,5.39,5.35,7.53,64.5,94.23,4.54,74,11.79,265.4886929,180.387
2021,2,22,5.51,5.04,8.61,61.88,94.3,5.91,85.12,11.45,344.5341601,175.185
2021,2,23,5.26,2.41,8.59,57.31,94.17,7.05,91.75,5.74,410.4550755,87.822
2021,2,24,4.95,1.72,5.93,83.56,93.86,4.32,110.88,3.98,253.0742949,60.894
2021,2,25,5.97,6,8.36,59.56,93.99,3.95,300.62,13.51,229.7192404,206.703
2021,2,26,6.1,6.14,11.31,35.56,94.04,1.59,244.31,13.77,91.55898978,210.681
2021,2,27,6.08,6.01,11.44,36.94,93.77,3.89,124.75,13.83,223.2576427,211.599
2021,2,28,5.86,5.71,10.98,45,93.32,4.73,81.88,12.73,270.6021437,194.769
2021,3,1,5.98,5.93,11.64,52.25,93.82,1.88,183.94,13.41,107.8800143,205.173
2021,3,2,6.11,6.13,12.56,46.5,94,3.09,150.62,13.86,177.0815623,212.058
2021,3,3,5.98,5.9,14.01,45.69,93.6,4.12,170.88,13.3,233.9168857,203.49
2021,3,4,6.22,6.18,11.19,53.56,93.48,6.91,297.81,14.26,395.7047333,218.178
2021,3,5,6.45,6.49,10.37,58.06,94.22,4.42,290.25,14.91,255.8551259,228.123
2021,3,6,6.49,6.42,11.93,42.69,94.36,2.3,188.38,14.73,132.6054798,225.369
2021,3,7,6.41,6.38,12.92,39.81,93.81,2.96,162.19,14.65,169.0756183,224.145
2021,3,8,6.49,6.35,13.8,38.75,93.52,4.23,279.81,14.74,240.1325814,225.522
2021,3,9,6.27,6.22,13.8,45.75,93.8,3.18,281.38,14.27,181.0656977,218.331
2021,3,10,6.33,6.33,17.01,34.81,93.75,3.33,122.56,14.48,187.4089901,221.544
2021,3,11,6.28,5.96,19.39,32.69,93.19,5.27,252.69,13.66,292.4200338,208.998
2021,3,12,5.93,5.21,14.53,45.44,93.15,8.68,289.25,11.41,489.5593703,174.573
2021,3,13,6.69,6.33,11.5,42.62,93.79,2.41,164.25,14.9,138.3167715,227.97
2021,3,14,6.21,6.14,13.76,31.69,93.66,2.4,142.12,13.4,136.4684198,205.02
2021,3,15,5.22,4.82,18.12,31.81,93.22,3.28,134.81,9.26,182.8519683,141.678
2021,3,16,6.06,6,19.71,37.25,93.11,3.02,251.38,13.23,167.2459712,202.419
2021,3,17,6.53,6.39,18.51,42.5,93.24,3.87,294.31,14.59,215.5007627,223.227
2021,3,18,6.83,6.76,15.58,37.69,93.56,4.38,262.25,15.52,247.2207194,237.456
2021,3,19,6.85,6.8,15.17,38.88,93.73,2.58,264.25,15.92,146.09522,243.576
2021,3,20,6.73,6.65,16.43,36.06,93.8,3.33,117.56,15.41,187.8845034,235.773
2021,3,21,6.7,6.68,20.44,28.62,93.36,4.82,269.25,15.39,266.9802132,235.467
2021,3,22,6.37,5.32,22.88,41.75,93.48,4.09,207.5,12.3,224.96696,188.19
