YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,RH2M,PS,WD10M,WS10M,UVA,Wind Energy,Solar Energy
2020,5,23,7.7,7.85,34.46,26,99.36,181,4.58,18.3,257.6849558,279.99
2020,5,24,7.71,7.81,32.11,43.56,99.28,266.06,6.27,18.77,355.1991048,287.181
2020,5,25,7.77,7.84,30.55,48.5,99.41,335.69,7.45,18.7,424.7701675,286.11
2020,5,26,7.7,7.81,31.68,37.69,99.44,221.75,5.76,18.59,327.2942278,284.427
2020,5,27,7.43,7.54,34.31,32.56,99.38,167.81,4.34,17.7,244.3501175,270.81
2020,5,28,7.45,7.62,34.5,31.38,99.36,207,5.2,17.85,292.530033,273.105
2020,5,29,7.5,7.65,32.26,44.69,99.28,274.19,6.73,17.95,381.0711169,274.635
2020,5,30,7.6,7.68,31.04,53.06,99.25,332.69,7.95,18.25,451.8197015,279.225
2020,5,31,7.75,7.83,30.48,50.19,99.31,336.62,7.93,18.68,451.7872212,285.804
2020,6,1,7.85,7.94,31.48,40.31,99.28,279.75,6.63,18.76,376.3700698,287.028
2020,6,2,8.02,8.09,32.25,34.75,99.19,251,5.73,19.6,324.1648584,299.88
2020,6,3,8.01,8.1,33.16,31,99.13,227.25,6.93,19.44,390.6516101,297.432
2020,6,4,7.97,8.06,33.16,40.31,99.09,291.12,5.38,19.51,303.1540551,298.503
2020,6,5,7.54,7.7,33.57,39.38,99.28,207.5,3.86,18.28,217.6303351,279.684
2020,6,6,5.33,7.38,35.56,33.38,99.34,151.81,2.65,13.48,148.5360207,206.244
2020,6,7,5.61,7.26,34.64,37.62,99.19,191.88,3.23,13.89,181.3127563,212.517
2020,6,8,6.75,7.33,36.07,31.5,99.01,193.12,3.91,16.49,218.072396,252.297
2020,6,9,7.45,7.7,36.24,24.81,99.03,200.62,3.91,17.96,217.9965985,274.788
2020,6,10,7.77,7.84,35.12,31.62,99.05,214.62,5.48,18.78,306.7017324,287.334
2020,6,11,8.07,8.13,33.65,37.12,98.98,222,6.24,19.77,350.6623484,302.481
2020,6,12,7.98,8.04,32.48,46.94,98.85,317.81,5.3,19.57,298.5857072,299.421
