YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,UVA,Wind Energy,Solar Energy
2021,2,17,5.34,4.99,21.31,60,100.96,5.91,146.12,11.16,352.9579498,170.748
2021,2,18,4.83,2.06,19.61,71.62,101.29,6.13,260.5,5.48,369.4262575,83.844
2021,2,19,4.16,2.99,17.9,52.94,101.94,7.59,348.94,6.7,463.053589,102.51
2021,2,20,4.68,2.22,17.98,55.62,101.91,4.51,290.75,5.7,274.9912254,87.21
2021,2,21,5.15,3.34,18.36,60.38,101.86,4.98,229.94,8.62,303.1042391,131.886
2021,2,22,5.02,4.65,19.57,61.5,101.88,5.86,254.62,10.85,355.2602434,166.005
2021,2,23,4.9,4.33,19,61.69,101.81,7.93,274.38,10.11,481.3602092,154.683
2021,2,24,4.89,2.68,18.32,70.88,101.33,4.32,140.88,6.75,261.6015914,103.275
2021,2,25,4.58,2.69,17.82,67.06,101.43,6.73,286.38,6.46,408.6445665,98.838
2021,2,26,5.75,5.67,16.78,57.38,101.57,6.1,326.88,12.52,372.2327536,191.556
2021,2,27,5.78,5.64,17,58.94,101.59,5.43,332.81,12.4,331.1621307,189.72
2021,2,28,5.67,5.5,18.45,53.94,101.37,3.05,107.19,12.23,184.6861038,187.119
2021,3,1,5.17,2.47,19.75,68.06,101.28,3.59,109,6.33,216.2276472,96.849
2021,3,2,5.47,5.16,20.58,70.75,101.58,4.84,261.75,11.92,291.5531366,182.376
2021,3,3,5.22,3.92,20.51,61.31,101.53,5.24,219.19,9.2,315.5682721,140.76
2021,3,4,5.7,4.91,22.4,50.81,101.2,3.45,161,11.59,205.7695449,177.327
2021,3,5,5.21,5.06,20.19,54.56,101.43,7.6,295,11.2,457.7424431,171.36
2021,3,6,5.38,5.32,18.89,54.88,101.78,7.84,332.62,11.94,475.9360727,182.682
2021,3,7,5.91,5.85,18.09,52.81,101.53,6.41,332.38,12.79,389.2367579,195.687
