YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,UVA,Wind Energy,Solar Energy
2022,4,29,6.57,5.44,25,45.69,94.33,2.54,182.12,11.75,139.9784533,179.775
2022,4,30,7.44,7.26,26.97,37.88,94.19,4.14,217.81,17.06,226.3198535,261.018
2022,5,1,7.61,7.5,29.05,23.5,93.88,4.51,180.31,17.79,244.0437085,272.187
2022,5,2,7.13,7.03,27.97,19.44,93.92,3.72,54.75,15.95,202.1035189,244.035
2022,5,3,7.32,7.24,28.9,17.25,94.08,2.72,130.88,16.2,147.5705941,247.86
2022,5,4,7.42,7.35,30.62,18.38,94.06,4.25,187.19,16.39,229.2247335,250.767
2022,5,5,7.28,6.78,33.65,13.69,93.78,4.83,243.06,15.38,257.1665372,235.314
2022,5,6,7.31,5.45,32.63,15.44,93.58,4.45,189.69,12.82,237.2173383,196.146
2022,5,7,6.84,6.23,30.43,18.31,93.78,4.55,227.06,13.61,244.827908,208.233
2022,5,8,6.96,6.91,27.8,16.62,94.16,4.75,38,14.68,258.8678787,224.604
2022,5,9,7.05,6.99,27.49,16.56,94.23,3.05,49.38,15.1,166.5155211,231.03
2022,5,10,7.01,6.88,28.72,13.88,94.2,2.18,115.25,14.98,118.4949644,229.194
2022,5,11,7.21,7.09,31.57,13.69,94.04,3.93,170.69,15.68,211.2597027,239.904
2022,5,12,7.78,7.69,29.83,12.88,94.23,3.5,48.12,17.4,189.607594,266.22
2022,5,13,8.04,7.93,29.09,13.94,94.3,5.99,265.94,18.27,325.5360036,279.531
2022,5,14,8.06,7.94,27.32,12.62,94.2,7.17,341.19,17.88,391.5447405,273.564
2022,5,15,8.43,8.33,28.04,9.69,94.17,6.18,165.5,18.65,336.5680993,285.345
2022,5,16,8.44,8.32,30.49,7.5,94.06,4.23,154.75,19.14,228.2437069,292.842
2022,5,17,7.23,6.82,30.57,13.75,94.06,4.05,73.31,14.48,218.4736476,221.544
2022,5,18,7.54,7.46,31.76,12.69,94,2.56,51.25,16.15,137.4702125,247.095
2022,5,19,7.46,7.39,33.17,13.62,94.03,2.12,107.94,15.68,113.3546647,239.904
2022,5,20,7.55,7.41,33.11,13.94,93.98,2.19,103.94,16.14,117.05817,246.942
2022,5,21,7.55,7.47,33.9,10.12,93.91,2.95,127.69,16.23,157.1582586,248.319
2022,5,22,7.63,7.48,33.02,11.94,93.82,3.27,34.19,16.39,174.5392077,250.767
2022,5,23,7.62,7.53,34.46,8.94,93.5,4.34,208.62,16.64,229.7805919,254.592
2022,5,24,6.9,6.7,30.81,13.38,93.86,4.89,41.5,13.67,263.0179729,209.151
2022,5,25,6.74,6.48,30.67,13.94,94.12,3.86,73.25,13.23,208.2885118,202.419
2022,5,26,6.91,6.66,31.5,14.44,94.03,3.7,133.69,13.88,198.920449,212.364
2022,5,27,7.31,7.19,31.62,14.31,93.91,4.25,138.44,15.86,228.1082584,242.658
2022,5,28,7.17,7.11,32.2,12.81,93.79,3.48,133.69,15.62,186.1874091,238.986
2022,5,29,7.46,7.33,32.13,11.31,93.88,3.4,104.62,16.57,182.1235462,253.521
2022,5,30,7.58,7.38,32.39,11.25,93.84,2.77,86.44,16.7,148.1876964,255.51
2022,5,31,7.68,7.55,33.07,10.62,93.74,4.23,80.94,16.74,225.5507199,256.122
2022,6,1,7.85,7.73,33.01,8.06,93.69,4.77,32.75,17.32,254.2585828,264.996
2022,6,2,8.22,8.12,32.45,10.44,93.85,4.42,113.88,18.56,236.437114,283.968
2022,6,3,8.18,8.09,33.13,14.12,93.98,3.12,126.75,18.83,166.756914,288.099
2022,6,4,8.26,8.16,34.53,8.25,93.86,2.88,137.69,18.27,153.0333988,279.531
2022,6,5,8.61,8.52,35.43,7,93.73,2,130.62,19.45,105.8164753,297.585
2022,6,6,8.42,8.35,35.55,6.75,93.56,2.29,138.56,18.62,120.8931014,284.886
2022,6,7,8.6,8.52,35.47,8.06,93.5,3.29,161.12,19.57,173.6184581,299.421
2022,6,8,8.48,8.38,36.21,7.56,93.61,3.15,127.88,19.22,166.027907,294.066
2022,6,9,8.29,8.2,36.56,7.69,93.61,3.09,126.06,18.66,162.6814181,285.498
2022,6,10,8.3,8.22,36.37,8.19,93.68,2.88,99.38,18.8,151.8319278,287.64
2022,6,11,7.88,7.8,35.14,12.75,93.7,3.98,120.06,17.65,210.705406,270.045
2022,6,12,7.96,7.87,35.26,12,93.45,3.69,129.75,18.13,194.7554742,277.389
